Project:,jg_gelma_fibers_shear_rate,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Test:,gelma_60um_r1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Result:,Measurement 1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Interval and data points:,1,18,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Viscosity,Shear Rate
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa·s],[1/s]
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa·s],[1/s]
,1,5.034,87.48,22.26,,,,,0.8,0.02,41.426,Dy_auto,16878,0.1
,2,10.059,92.51,22.26,,,,,0.8,0.02,40.237,Dy_auto,10347,0.158
,3,15.093,97.54,22.26,,,,,0.8,0.02,41.421,Dy_auto,6721.4,0.251
,4,20.124,102.6,22.27,,,,,0.8,0.02,42.498,Dy_auto,4352.1,0.398
,5,25.16,107.6,22.27,,,,,0.8,0.02,44.134,Dy_auto,2852.2,0.63
,6,30.2,112.7,22.27,,,,,0.8,0.02,45.114,Dy_auto,1839.8,0.999
,7,35.244,117.7,22.27,,,,,0.8,0.02,43.882,Dy_auto,1129.3,1.58
,8,40.294,122.7,22.27,,,,,0.8,0.02,44.163,Dy_auto,717.21,2.51
,9,45.348,127.8,22.27,,,,,0.8,0.03,46.596,Dy_auto,477.56,3.98
,10,50.408,132.9,22.27,,,,,0.8,0.03,49.029,Dy_auto,317.12,6.3
,11,55.473,137.9,22.27,,,,,0.8,0.04,49.256,Dy_auto,201.06,9.98
,12,60.541,143,22.27,,,,,0.8,0.04,48.894,Dy_auto,125.96,15.8
,13,65.61,148.1,22.28,,,,,0.8,0.03,41.039,Dy_auto,66.715,25.1
,14,70.68,153.1,22.28,,,,,0.8,0.02,32.906,Dy_auto,33.759,39.7
,15,75.748,158.2,22.28,,,,,0.8,0.02,34.697,Dy_auto,22.464,62.9
,16,80.818,163.3,22.28,,,,,0.8,0.02,43.43,Dy_auto,17.746,99.7
,17,85.887,168.3,22.28,,,,,0.8,0.03,51.195,Dy_auto,13.202,158
,18,90.956,173.4,22.28,,,,,0.8,0.04,55.037,Dy_auto,8.9576,250
,,,,,,,,,,,,,,
Test:,gelma_40um_r3,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Result:,Measurement 1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Interval and data points:,1,18,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Viscosity,Shear Rate
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa·s],[1/s]
,1,5.032,22.76,22.34,,,,,0.8,0.03,46.785,Dy_auto,19063,0.1
,2,10.058,27.79,22.35,,,,,0.8,0.03,46.938,Dy_auto,12070,0.158
,3,15.085,32.81,22.35,,,,,0.8,0.03,47.647,Dy_auto,7732.1,0.251
,4,20.115,37.84,22.35,,,,,0.8,0.03,49.096,Dy_auto,5028,0.398
,5,25.149,42.88,22.35,,,,,0.8,0.03,50.275,Dy_auto,3249.1,0.63
,6,30.188,47.92,22.35,,,,,0.8,0.03,50.625,Dy_auto,2064.6,0.999
,7,35.231,52.96,22.35,,,,,0.8,0.03,49.824,Dy_auto,1282.3,1.58
,8,40.279,58.01,22.35,,,,,0.8,0.03,49.175,Dy_auto,798.64,2.51
,9,45.333,63.06,22.35,,,,,0.8,0.03,49.15,Dy_auto,503.74,3.98
,10,50.392,68.12,22.35,,,,,0.8,0.03,50.223,Dy_auto,324.84,6.3
,11,55.456,73.18,22.35,,,,,0.8,0.04,51.541,Dy_auto,210.39,9.98
,12,60.525,78.25,22.35,,,,,0.8,0.04,48.215,Dy_auto,124.21,15.8
,13,65.594,83.32,22.35,,,,,0.8,0.04,44.295,Dy_auto,72.011,25.1
,14,70.663,88.39,22.36,,,,,0.8,0.03,40.774,Dy_auto,41.831,39.7
,15,75.732,93.46,22.36,,,,,0.8,0.02,41.169,Dy_auto,26.655,62.9
,16,80.801,98.53,22.36,,,,,0.8,0.02,47.345,Dy_auto,19.346,99.7
,17,85.87,103.6,22.36,,,,,0.8,0.03,61.972,Dy_auto,15.982,158
,18,90.939,108.7,22.36,,,,,0.8,0.04,68.213,Dy_auto,11.102,250
,,,,,,,,,,,,,,
Test:,gelma_85um_r1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Result:,Measurement 1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Interval and data points:,1,18,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Viscosity,Shear Rate
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa·s],[1/s]
,1,5.034,75.76,22.4,,,,,0.8,0.01,31.703,Dy_auto,12917,0.1
,2,10.06,80.79,22.4,,,,,0.8,0.01,31.77,Dy_auto,8169.2,0.158
,3,15.095,85.82,22.4,,,,,0.8,0.01,32.928,Dy_auto,5343.1,0.251
,4,20.127,90.85,22.4,,,,,0.8,0.01,34.773,Dy_auto,3560.8,0.398
,5,25.166,95.89,22.4,,,,,0.8,0.01,36.832,Dy_auto,2380.2,0.63
,6,30.208,100.9,22.4,,,,,0.8,0.01,38.832,Dy_auto,1583.6,0.999
,7,35.254,106,22.4,,,,,0.8,0.01,39.484,Dy_auto,1016.1,1.58
,8,40.305,111,22.4,,,,,0.8,0.02,39.804,Dy_auto,646.41,2.51
,9,45.361,116.1,22.4,,,,,0.8,0.02,40.796,Dy_auto,418.1,3.98
,10,50.422,121.1,22.4,,,,,0.8,0.02,40.164,Dy_auto,259.77,6.3
,11,55.489,126.2,22.4,,,,,0.8,0.02,35.899,Dy_auto,146.54,9.98
,12,60.558,131.3,22.4,,,,,0.8,0.02,31.112,Dy_auto,80.142,15.8
,13,65.627,136.4,22.4,,,,,0.8,0.01,28.074,Dy_auto,45.637,25.1
,14,70.696,141.4,22.4,,,,,0.8,0.01,26.195,Dy_auto,26.873,39.7
,15,75.765,146.5,22.4,,,,,0.8,0.01,26.91,Dy_auto,17.423,62.9
,16,80.834,151.6,22.4,,,,,0.8,0,31.388,Dy_auto,12.825,99.7
,17,85.903,156.6,22.4,,,,,0.8,0.01,39.766,Dy_auto,10.255,158
,18,90.972,161.7,22.41,,,,,0.8,0.03,53.792,Dy_auto,8.755,250
,,,,,,,,,,,,,,
Test:,gelma_85um_r2,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Result:,Measurement 1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Interval and data points:,1,18,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Viscosity,Shear Rate
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa·s],[1/s]
,1,5.034,87.88,22.46,,,,,0.8,0.01,29.446,Dy_auto,11997,0.1
,2,10.07,92.91,22.46,,,,,0.8,0.01,29.434,Dy_auto,7567.9,0.158
,3,15.101,97.94,22.47,,,,,0.8,0.01,30.398,Dy_auto,4932.5,0.251
,4,20.139,103,22.47,,,,,0.8,0.01,31.735,Dy_auto,3249.6,0.398
,5,25.176,108,22.47,,,,,0.8,0.01,33.829,Dy_auto,2186.1,0.63
,6,30.218,113.1,22.47,,,,,0.8,0.01,36.267,Dy_auto,1478.9,0.999
,7,35.265,118.1,22.47,,,,,0.8,0.01,38.096,Dy_auto,980.35,1.58
,8,40.316,123.2,22.47,,,,,0.8,0.01,38.154,Dy_auto,619.61,2.51
,9,45.373,128.2,22.47,,,,,0.8,0.01,36.901,Dy_auto,378.18,3.98
,10,50.435,133.3,22.47,,,,,0.8,0.01,36.782,Dy_auto,237.9,6.3
,11,55.503,138.3,22.47,,,,,0.8,0.02,34.89,Dy_auto,142.42,9.98
,12,60.572,143.4,22.47,,,,,0.8,0.01,30.195,Dy_auto,77.78,15.8
,13,65.641,148.5,22.47,,,,,0.8,0.01,26.988,Dy_auto,43.87,25.1
,14,70.71,153.6,22.47,,,,,0.8,0.01,26.762,Dy_auto,27.455,39.7
,15,75.779,158.6,22.48,,,,,0.8,0.01,28.574,Dy_auto,18.5,62.9
,16,80.848,163.7,22.47,,,,,0.8,0.01,33.03,Dy_auto,13.496,99.7
,17,85.917,168.8,22.48,,,,,0.8,0.01,42.741,Dy_auto,11.022,158
,18,90.986,173.8,22.48,,,,,0.8,0.02,58.744,Dy_auto,9.561,250
,,,,,,,,,,,,,,
Test:,gelma_85um_r3,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Result:,Measurement 1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Interval and data points:,1,18,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Viscosity,Shear Rate
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa·s],[1/s]
,1,5.035,72.75,22.53,,,,,0.8,0.01,31.169,Dy_auto,12700,0.1
,2,10.067,77.79,22.53,,,,,0.8,0.01,30.833,Dy_auto,7927.6,0.158
,3,15.096,82.81,22.53,,,,,0.8,0.01,31.791,Dy_auto,5158.6,0.251
,4,20.128,87.85,22.53,,,,,0.8,0.01,33.362,Dy_auto,3416.4,0.398
,5,25.167,92.89,22.53,,,,,0.8,0.01,35.23,Dy_auto,2276.6,0.631
,6,30.21,97.93,22.53,,,,,0.8,0.01,37.306,Dy_auto,1521.3,0.999
,7,35.256,103,22.54,,,,,0.8,0.01,39.395,Dy_auto,1013.8,1.58
,8,40.307,108,22.54,,,,,0.8,0.01,39.307,Dy_auto,638.33,2.51
,9,45.363,113.1,22.54,,,,,0.8,0.01,38.029,Dy_auto,389.74,3.98
,10,50.425,118.1,22.54,,,,,0.8,0.01,37.353,Dy_auto,241.59,6.3
,11,55.493,123.2,22.54,,,,,0.8,0.01,35.657,Dy_auto,145.55,9.98
,12,60.562,128.3,22.54,,,,,0.8,0.01,30.344,Dy_auto,78.165,15.8
,13,65.631,133.3,22.54,,,,,0.8,0,25.374,Dy_auto,41.247,25.1
,14,70.7,138.4,22.54,,,,,0.8,0,23.911,Dy_auto,24.53,39.7
,15,75.769,143.5,22.54,,,,,0.8,0,26.076,Dy_auto,16.882,62.9
,16,80.838,148.6,22.54,,,,,0.8,0,30.691,Dy_auto,12.541,99.7
,17,85.907,153.6,22.54,,,,,0.8,0,39.323,Dy_auto,10.141,158
,18,90.976,158.7,22.54,,,,,0.8,0.02,54.626,Dy_auto,8.8907,250
,,,,,,,,,,,,,,
Test:,gelma_40um_r4,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Result:,Measurement 1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Interval and data points:,1,18,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Viscosity,Shear Rate
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa·s],[1/s]
,1,5.036,87.48,22.62,,,,,0.8,0.01,36.293,Dy_auto,14788,0.1
,2,10.063,92.5,22.62,,,,,0.8,0.01,36.331,Dy_auto,9341.6,0.158
,3,15.092,97.53,22.62,,,,,0.8,0.01,37.229,Dy_auto,6041.3,0.251
,4,20.123,102.6,22.62,,,,,0.8,0.01,38.615,Dy_auto,3954.5,0.398
,5,25.161,107.6,22.62,,,,,0.8,0.01,40.066,Dy_auto,2589.2,0.63
,6,30.202,112.6,22.62,,,,,0.8,0.01,42.079,Dy_auto,1716,0.999
,7,35.247,117.7,22.63,,,,,0.8,0.01,43.08,Dy_auto,1108.7,1.58
,8,40.297,122.7,22.63,,,,,0.8,0.02,43.012,Dy_auto,698.51,2.51
,9,45.352,127.8,22.63,,,,,0.8,0.02,43.136,Dy_auto,442.09,3.98
,10,50.412,132.9,22.63,,,,,0.8,0.02,43.713,Dy_auto,282.74,6.3
,11,55.478,137.9,22.63,,,,,0.8,0.02,42.137,Dy_auto,172,9.98
,12,60.547,143,22.63,,,,,0.8,0.02,38.015,Dy_auto,97.93,15.8
,13,65.616,148.1,22.63,,,,,0.8,0.02,33.565,Dy_auto,54.565,25.1
,14,70.685,153.1,22.63,,,,,0.8,0.02,31.872,Dy_auto,32.697,39.7
,15,75.754,158.2,22.63,,,,,0.8,0.02,33.96,Dy_auto,21.987,62.9
,16,80.823,163.3,22.63,,,,,0.8,0.02,41.237,Dy_auto,16.85,99.7
,17,85.892,168.3,22.63,,,,,0.8,0.03,53.334,Dy_auto,13.754,158
,18,90.961,173.4,22.63,,,,,0.8,0.02,53.5,Dy_auto,8.7075,250
