Project:,jg_gelma_fibers_recovery_osc,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Test:,85um_fibers_r2,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Result:,Pre-UV recovery,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Interval and data points:,1,38,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Shear Stress,Shear Strain
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa],[%]
,25,65.9,539,22.8,16734,512.05,0.0306,2.6645E+06,0.8,-0.02,0.43148,"WMa,TruStrain™",17.58,0.105
,26,66.374,539.5,22.8,16900,302.01,0.0179,2.6901E+06,0.8,-0.02,0.42724,"WMa,TruStrain™",17.408,0.103
,27,66.879,540,22.8,16845,88.073,0.00523,2.681E+06,0.8,-0.02,0.42208,"WMa,TruStrain™",17.197,0.102
,28,67.415,540.5,22.8,16719,457.13,0.0273,2.6619E+06,0.8,-0.02,0.41726,"WMa,TruStrain™",17.001,0.102
,29,67.987,541.1,22.8,16992,737.23,0.0434,2.7069E+06,0.8,-0.02,0.4229,"WMa,TruStrain™",17.23,0.101
,30,68.594,541.7,22.8,16960,538.73,0.0318,2.7007E+06,0.8,-0.02,0.42074,"WMa,TruStrain™",17.143,0.101
,31,69.241,542.4,22.8,16830,703,0.0418,2.6809E+06,0.8,-0.02,0.41682,"WMa,TruStrain™",16.983,0.101
,32,69.93,543.1,22.8,17022,912.12,0.0536,2.7131E+06,0.8,-0.02,0.42146,"WMa,TruStrain™",17.172,0.101
,33,70.662,543.8,22.8,17071,711.75,0.0417,2.7193E+06,0.8,-0.02,0.42206,"WMa,TruStrain™",17.196,0.101
,34,71.442,544.6,22.8,17000,511.73,0.0301,2.7068E+06,0.8,-0.02,0.41978,"WMa,TruStrain™",17.103,0.101
,35,72.272,545.4,22.8,17020,689.74,0.0405,2.711E+06,0.8,-0.02,0.42031,"WMa,TruStrain™",17.125,0.101
,36,73.155,546.3,22.8,17033,776.29,0.0456,2.7137E+06,0.8,-0.02,0.42066,"WMa,TruStrain™",17.139,0.101
,37,74.094,547.2,22.8,17153,575.64,0.0336,2.7316E+06,0.8,-0.02,0.42337,"WMa,TruStrain™",17.25,0.101
,38,75.094,548.2,22.81,16877,889.75,0.0527,2.6898E+06,0.8,-0.02,0.41689,"WMa,TruStrain™",16.986,0.101
,,,,,,,,,,,,,,
Interval and data points:,6,38,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Shear Stress,Shear Strain
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa],[%]
,1,75.196,548.3,22.8,21732,4.0742E+05,18.7,6.4935E+07,0.8,0.19,248.55,"WMa,taD,TruStrain™",10127,2.48
,2,75.303,548.4,22.8,10.238,2.0477E+05,2E+04,3.2589E+07,0.8,-0.02,459.03,"ME-,MV-,WMa,taD,TruStrain™",18703,9.13
,3,75.416,548.5,22.8,4.7459,94918,2E+04,1.5107E+07,0.8,-0.02,295.88,"ME-,MV-,WMa,taD,TruStrain™",12055,12.7
,4,75.537,548.7,22.8,1.4209E+05,18582,0.131,2.2807E+07,0.8,-0.03,485.67,"MV-,WMa,TruStrain™",19788,13.8
,5,75.665,548.8,22.8,2.2364E+05,91467,0.409,3.8456E+07,0.8,-0.02,2545.7,"WMa,TruStrain™",1.0372E+05,42.9
,6,75.801,548.9,22.8,21301,1.0614E+05,4.98,1.723E+07,0.8,0,4272.9,"WMa,TruStrain™",1.741E+05,161
,7,75.947,549.1,22.81,307.96,60456,196,9.622E+06,0.8,-0.01,4772.9,"WMa,taD,TruStrain™",1.9447E+05,322
,8,76.101,549.2,22.81,2.1448,42896,2E+04,6.827E+06,0.8,-0.03,5633.2,"ME-,WMa,taD,TruStrain™",2.2952E+05,535
,9,76.266,549.4,22.81,3547.2,33301,9.39,5.33E+06,0.8,-0.04,6443.2,"ME-,WMa,TruStrain™",2.6252E+05,784
,10,76.441,549.6,22.81,1.3465,26930,2E+04,4.286E+06,0.8,-0.03,7176.6,"ME-,WMa,taD,TruStrain™",2.924E+05,1.09E+03
,11,76.627,549.7,22.81,0.88538,17708,2E+04,2.8182E+06,0.8,0,6167.6,"ME-,WMa,taD,TruStrain™",2.5129E+05,1.42E+03
,12,76.826,549.9,22.81,0.31194,6238.8,2E+04,9.9294E+05,0.8,0,2476.9,"ME-,WMa,taD,TruStrain™",1.0092E+05,1.62E+03
,13,77.037,550.2,22.8,19.795,2382.4,120,3.7919E+05,0.8,-0.02,1022.9,"ME-,WMa,TruStrain™",41678,1.75E+03
,14,77.261,550.4,22.8,1312,1086.5,0.828,2.7111E+05,0.8,-0.03,736.7,"MV-,WMa,TruStrain™",30016,1.76E+03
,15,77.5,550.6,22.8,1300.8,2903,2.23,5.0629E+05,0.8,-0.02,1316.7,"MV-,WMa,TruStrain™",53648,1.69E+03
,16,77.754,550.9,22.8,1387.5,2737.7,1.97,4.8848E+05,0.8,0,1208.7,"MV-,WMa,TruStrain™",49248,1.6E+03
,17,78.025,551.1,22.8,568.55,2412,4.24,3.944E+05,0.8,-0.02,927.76,"MV-,WMa,TruStrain™",37800,1.53E+03
,18,78.313,551.4,22.8,99.903,1887.6,18.9,3.0084E+05,0.8,-0.03,678.46,"MV-,WMa,TruStrain™",27643,1.46E+03
,19,78.62,551.7,22.8,94.242,1522.5,16.2,2.4278E+05,0.8,-0.01,528.04,"MV-,WMa,TruStrain™",21514,1.41E+03
,20,78.946,552.1,22.8,33.354,1359.9,40.8,2.165E+05,0.8,-0.01,455.96,"MV-,WMa,TruStrain™",18578,1.37E+03
,21,79.293,552.4,22.8,36.848,1274,34.6,2.0285E+05,0.8,-0.04,412.43,"MV-,WMa,TruStrain™",16804,1.32E+03
,22,79.663,552.8,22.8,53.271,1188.7,22.3,1.8938E+05,0.8,-0.01,372.82,"MV-,WMa,TruStrain™",15190,1.28E+03
,23,80.056,553.2,22.8,44.7,1096.6,24.5,1.7468E+05,0.8,-0.02,333.59,"MV-,WMa,TruStrain™",13592,1.24E+03
,24,80.474,553.6,22.8,25.135,1001.9,39.9,1.595E+05,0.8,-0.02,294.99,"MV-,WMa,TruStrain™",12019,1.2E+03
,25,80.919,554,22.8,36.269,912.14,25.1,1.4529E+05,0.8,-0.01,259.21,"MV-,WMa,TruStrain™",10561,1.16E+03
,26,81.393,554.5,22.81,63.978,772.65,12.1,1.2339E+05,0.8,-0.03,213.72,"MV-,WMa,TruStrain™",8707.8,1.12E+03
,27,81.898,555,22.81,70.743,601.84,8.51,96446,0.8,-0.01,163.2,"MV-,WMa,TruStrain™",6649.4,1.1E+03
,28,82.434,555.6,22.81,75.862,449.9,5.93,72614,0.8,-0.03,120.32,"MV-,WMa,TruStrain™",4902.5,1.07E+03
,29,83.006,556.1,22.81,71.726,331.6,4.62,53996,0.8,-0.01,87.744,"MV-,WMa,TruStrain™",3575,1.05E+03
,30,83.613,556.7,22.8,54.413,214.65,3.94,35243,0.8,-0.02,56.342,"MV-,WMa,TruStrain™",2295.6,1.04E+03
,31,84.26,557.4,22.81,24.035,97.79,4.07,16027,0.8,-0.03,25.34,"MV-,WMa,TruStrain™",1032.4,1.03E+03
,32,84.949,558.1,22.81,21.677,3.862,0.178,3504.4,0.8,-0.01,5.5113,"MV-,WMa,TruStrain™",224.55,1.02E+03
,33,85.681,558.8,22.81,34.269,40.695,1.19,8467.4,0.8,-0.01,13.234,"WMa,TruStrain™",539.2,1.01E+03
,34,86.461,559.6,22.81,22.016,82.749,3.76,13628,0.8,-0.03,21.208,"WMa,TruStrain™",864.09,1.01E+03
,35,87.291,560.4,22.8,23.971,114.24,4.77,18579,0.8,-0.03,28.855,"WMa,TruStrain™",1175.7,1.01E+03
,36,88.174,561.3,22.81,19.748,129.79,6.57,20895,0.8,-0.03,32.415,"WMa,TruStrain™",1320.7,1.01E+03
,37,89.113,562.2,22.81,19.473,137.65,7.07,22126,0.8,-0.02,34.304,"WMa,TruStrain™",1397.7,1.01E+03
,38,90.113,563.2,22.81,19.122,142.06,7.43,22813,0.8,-0.02,35.36,"WMa,TruStrain™",1440.7,1.01E+03
,,,,,,,,,,,,,,
Interval and data points:,7,38,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Shear Stress,Shear Strain
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa],[%]
,1,90.215,563.3,22.81,20771,1.0385,5E-05,3.3057E+06,0.8,0.23,5085.2,"ME-,MV-,WMa,taD,TruStrain™",2.0719E+05,998
,2,90.322,563.4,22.81,1420.9,20229,14.2,3.2275E+06,0.8,0.05,4545.4,"ME-,MV-,WMa,TruStrain™",1.852E+05,913
,3,90.435,563.6,22.81,8338.5,8672.6,1.04,1.9148E+06,0.8,-0.02,2396.4,"MV-,WMa,TruStrain™",97638,812
,4,90.556,563.7,22.81,13947,7700.7,0.552,2.5356E+06,0.8,-0.02,2681.4,"MV-,WMa,TruStrain™",1.0925E+05,686
,5,90.684,563.8,22.81,18410,9636.3,0.523,3.3071E+06,0.8,-0.02,2825.9,"MV-,WMa,TruStrain™",1.1514E+05,554
,6,90.82,563.9,22.81,25879,12383,0.479,4.566E+06,0.8,-0.02,2814.3,"MV-,WMa,TruStrain™",1.1467E+05,400
,7,90.966,564.1,22.8,49456,12983,0.263,8.1379E+06,0.8,-0.02,2659.1,"MV-,WMa,TruStrain™",1.0834E+05,212
,8,91.12,564.2,22.8,98397,41968,0.427,1.7025E+07,0.8,-0.02,2515.6,"MV-,WMa,TruStrain™",1.025E+05,95.8
,9,91.285,564.4,22.8,1.4747E+05,7.3734,5E-05,2.347E+07,0.8,-0.02,4946.7,"ME-,MV-,WMa,taD,TruStrain™",2.0155E+05,137
,10,91.46,564.6,22.81,0.61225,12245,2E+04,1.9489E+06,0.8,-0.02,456.74,"ME-,WMa,taD,TruStrain™",18609,152
,11,91.646,564.8,22.81,1.2387,24774,2E+04,3.9429E+06,0.8,-0.02,735.91,"ME-,WMa,taD,TruStrain™",29984,121
,12,91.845,565,22.81,2.9008,58016,2E+04,9.2335E+06,0.8,-0.02,1034.6,"ME-,WMa,taD,TruStrain™",42154,72.7
,13,92.056,565.2,22.81,7.3261,1.4652E+05,2E+04,2.332E+07,0.8,-0.02,1263.7,"ME-,WMa,taD,TruStrain™",51486,35.1
,14,92.28,565.4,22.81,17.826,3.5653E+05,2E+04,5.6743E+07,0.8,-0.02,1372.6,"ME-,WMa,taD,TruStrain™",55926,15.7
,15,92.519,565.6,22.81,1.2756E+06,63.782,5E-05,2.0302E+08,0.8,-0.02,796.46,"ME-,WMa,taD,TruStrain™",32451,2.54
,16,92.773,565.9,22.81,522.13,1.0443E+07,2E+04,1.662E+09,0.8,-0.02,65.14,"ME-,MV-,WMa,TruStrain™",2654,0.0254
,17,93.044,566.2,22.81,93266,30181,0.324,1.5602E+07,0.8,-0.02,1.3001,"MV-,WMa,TruStrain™",52.972,0.054
,18,93.332,566.5,22.81,11325,16526,1.46,3.1885E+06,0.8,-0.02,0.29586,"MV-,WMa,TruStrain™",12.054,0.0602
,19,93.639,566.8,22.81,11936,24518,2.05,4.34E+06,0.8,-0.02,0.47009,"WMa,TruStrain™",19.153,0.0702
,20,93.965,567.1,22.81,13291,16900,1.27,3.4219E+06,0.8,-0.02,0.47188,"WMa,TruStrain™",19.226,0.0894
,21,94.312,567.4,22.81,17471,5480.1,0.314,2.9142E+06,0.8,-0.02,0.4755,"WMa,TruStrain™",19.373,0.106
,22,94.682,567.8,22.81,15252,784.47,0.0514,2.4306E+06,0.8,-0.02,0.43036,"WMa,TruStrain™",17.534,0.115
,23,95.075,568.2,22.81,16043,871.88,0.0543,2.557E+06,0.8,-0.02,0.44879,"MV-,WMa,TruStrain™",18.285,0.114
,24,95.493,568.6,22.81,16924,1292.6,0.0764,2.7013E+06,0.8,-0.02,0.45634,"MV-,WMa,TruStrain™",18.593,0.11
,25,95.938,569.1,22.81,17297,193.61,0.0112,2.7531E+06,0.8,-0.02,0.45106,"MV-,WMa,TruStrain™",18.378,0.106
,26,96.412,569.5,22.81,17411,382.19,0.022,2.7718E+06,0.8,-0.02,0.44345,"WMa,TruStrain™",18.068,0.104
,27,96.917,570,22.81,17428,492.37,0.0283,2.7748E+06,0.8,-0.02,0.43897,"WMa,TruStrain™",17.885,0.103
,28,97.453,570.6,22.81,17336,511.9,0.0295,2.7602E+06,0.8,-0.02,0.43439,"WMa,TruStrain™",17.699,0.102
,29,98.025,571.1,22.81,17609,696.02,0.0395,2.8048E+06,0.8,-0.02,0.43959,"WMa,TruStrain™",17.911,0.102
,30,98.632,571.8,22.81,17571,698.9,0.0398,2.7986E+06,0.8,-0.02,0.43701,"WMa,TruStrain™",17.806,0.101
,31,99.279,572.4,22.81,17553,502.26,0.0286,2.7948E+06,0.8,-0.02,0.43536,"WMa,TruStrain™",17.738,0.101
,32,99.968,573.1,22.81,17462,813.47,0.0466,2.7822E+06,0.8,-0.02,0.43276,"WMa,TruStrain™",17.632,0.101
,33,100.7,573.8,22.81,17447,709.63,0.0407,2.7791E+06,0.8,-0.02,0.43157,"WMa,TruStrain™",17.584,0.101
,34,101.48,574.6,22.81,17240,680.66,0.0395,2.7459E+06,0.8,-0.02,0.42599,"WMa,TruStrain™",17.356,0.101
,35,102.31,575.4,22.81,17298,639,0.0369,2.7549E+06,0.8,-0.02,0.42715,"WMa,TruStrain™",17.404,0.101
,36,103.193,576.3,22.81,17202,1108.9,0.0645,2.7434E+06,0.8,-0.02,0.42525,"WMa,TruStrain™",17.326,0.101
,37,104.132,577.3,22.81,16561,1401.9,0.0847,2.6452E+06,0.8,-0.02,0.41003,"WMa,TruStrain™",16.706,0.101
,38,105.132,578.3,22.81,17186,623.66,0.0363,2.737E+06,0.8,-0.02,0.42413,"WMa,TruStrain™",17.281,0.1
,,,,,,,,,,,,,,
Test:,40um_fibers_r1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Result:,Measurement 1,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Interval and data points:,1,21,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Shear Stress,Shear Strain
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa],[%]
,1,14.187,145.2,22.88,11490,2.85,0.000248,1.8287E+06,0.8,0,0.28343,"MV-,TruStrain™",11.548,0.101
,2,31.787,162.8,22.89,14911,1199.1,0.0804,2.3808E+06,0.8,0,0.58483,TruStrain™,23.828,0.159
,3,49.767,180.8,22.89,15350,1110.9,0.0724,2.4494E+06,0.8,0,0.95361,TruStrain™,38.853,0.252
,4,67.673,198.7,22.89,15351,1057.5,0.0689,2.449E+06,0.8,0,1.5111,TruStrain™,61.567,0.4
,5,85.135,216.2,22.89,15232,1134.7,0.0745,2.4309E+06,0.8,0,2.3773,TruStrain™,96.86,0.634
,6,102.589,233.6,22.9,15237,1131.9,0.0743,2.4317E+06,0.8,0,3.7689,TruStrain™,153.56,1.01
,7,119.98,251,22.9,15234,1145.2,0.0752,2.4315E+06,0.8,0,5.9729,TruStrain™,243.36,1.59
,8,137.763,268.8,22.9,15165,1183.2,0.078,2.4209E+06,0.8,-0.01,9.4251,TruStrain™,384.01,2.52
,9,155.664,286.7,22.91,14841,1291.4,0.087,2.3709E+06,0.8,-0.01,14.629,TruStrain™,596.04,4
,10,173.106,304.1,22.91,13682,1962.5,0.143,2.1998E+06,0.8,-0.01,21.513,TruStrain™,876.51,6.34
,11,190.538,321.6,22.91,11284,2919.8,0.259,1.855E+06,0.8,0,28.751,TruStrain™,1171.4,10.1
,12,208.042,339.1,22.92,8214.5,3592.3,0.437,1.4269E+06,0.8,0,35.052,TruStrain™,1428.1,15.9
,13,225.602,356.6,22.92,5490.4,3702.7,0.674,1.054E+06,0.8,0,41.032,TruStrain™,1671.8,25.2
,14,242.987,374,22.92,3478.8,3279.1,0.943,7.6086E+05,0.8,0,46.948,TruStrain™,1912.8,40
,15,260.741,391.8,22.93,2127.4,2633.5,1.24,5.3881E+05,0.8,0,52.691,TruStrain™,2146.8,63.4
,16,278.569,409.6,22.93,1282.3,1984.1,1.55,3.7599E+05,0.8,0,58.275,TruStrain™,2374.3,101
,17,295.992,427,22.93,751.67,1443.9,1.92,2.5908E+05,0.8,0,63.641,TruStrain™,2593,159
,18,313.75,444.8,22.94,427.54,1031,2.41,1.7764E+05,0.8,0,69.156,TruStrain™,2817.7,252
,19,331.676,462.7,22.94,226.03,734.7,3.25,1.2234E+05,0.8,0,75.487,TruStrain™,3075.6,400
,20,349.235,480.3,22.94,100.42,454.52,4.53,74083,0.8,0,72.449,TruStrain™,2951.8,634
,21,367.062,498.1,22.94,48.651,262.41,5.39,42476,0.8,0,65.833,TruStrain™,2682.3,1.01E+03
,,,,,,,,,,,,,,
Result:,Pre-UV recovery,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Interval and data points:,1,38,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Shear Stress,Shear Strain
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa],[%]
,1,0.1,509.6,22.95,6.2578E+07,3128.9,5E-05,9.9596E+09,0.8,0,2099.2,"ME-,WMa,taD,TruStrain™",85527,0.137
,2,0.207,509.7,22.95,9.4937E+07,4746.9,5E-05,1.511E+10,0.8,0,4392.3,"ME-,WMa,taD,TruStrain™",1.7896E+05,0.188
,3,0.32,509.8,22.95,1.1E+08,5500,5E-05,1.7507E+10,0.8,0,4800,"ME-,WMa,taD,TruStrain™",1.9557E+05,0.178
,4,0.441,509.9,22.95,1.2018E+08,6008.9,5E-05,1.9127E+10,0.8,0,4937.6,"ME-,WMa,taD,TruStrain™",2.0117E+05,0.167
,5,0.569,510.1,22.94,1.2925E+08,6462.7,5E-05,2.0571E+10,0.8,0,5018.7,"ME-,WMa,taD,TruStrain™",2.0448E+05,0.158
,6,0.705,510.2,22.94,1.4058E+08,7029,5E-05,2.2374E+10,0.8,0,5092.1,"ME-,WMa,taD,TruStrain™",2.0747E+05,0.148
,7,0.851,510.3,22.95,1.5296E+08,7648.2,5E-05,2.4345E+10,0.8,0,5100,"ME-,WMa,taD,TruStrain™",2.0779E+05,0.136
,8,1.005,510.5,22.94,1.6481E+08,8240.7,5E-05,2.6231E+10,0.8,0,5043.8,"ME-,MV-,WMa,taD,TruStrain™",2.055E+05,0.125
,9,1.17,510.7,22.94,2.7505E+07,3.7877E+07,1.38,7.4502E+09,0.8,0,1194,"ME-,MV-,WMa,TruStrain™",48647,0.104
,10,1.345,510.8,22.95,4.1286E+06,206.43,5E-05,6.5708E+08,0.8,0,109.04,"ME-,MV-,WMa,taD,TruStrain™",4442.7,0.108
,11,1.531,511,22.95,5.8627E+06,293.14,5E-05,9.3308E+08,0.8,0,158.94,"ME-,WMa,taD,TruStrain™",6475.6,0.11
,12,1.73,511.2,22.95,462.14,9.2429E+06,2E+04,1.4711E+09,0.8,0,249.31,"ME-,WMa,taD,TruStrain™",10158,0.11
,13,1.941,511.4,22.95,501.43,1.0029E+07,2E+04,1.5961E+09,0.8,0,260.48,"ME-,WMa,taD,TruStrain™",10613,0.106
,14,2.165,511.7,22.95,6.6966E+05,6.5153E+06,9.73,1.0424E+09,0.8,0,162.32,"ME-,WMa,TruStrain™",6613.6,0.101
,15,2.404,511.9,22.95,7.2681E+05,1.1248E+06,1.55,2.1314E+08,0.8,0,32.879,"WMa,TruStrain™",1339.6,0.1
,16,2.658,512.1,22.95,36293,35060,0.966,8.0312E+06,0.8,0,1.2353,"WMa,TruStrain™",50.329,0.0997
,17,2.929,512.4,22.95,20598,8553.2,0.415,3.5497E+06,0.8,0,0.54577,"WMa,TruStrain™",22.237,0.0997
,18,3.217,512.7,22.95,19167,3390.2,0.177,3.0978E+06,0.8,0,0.4757,"WMa,TruStrain™",19.382,0.0996
,19,3.524,513,22.95,14558,2476.7,0.17,2.3502E+06,0.8,0,0.36234,"WMa,TruStrain™",14.763,0.1
,20,3.85,513.3,22.95,12095,1744.6,0.144,1.945E+06,0.8,0,0.30082,"WMa,TruStrain™",12.256,0.1
,21,4.197,513.7,22.95,12643,1606.7,0.127,2.0283E+06,0.8,0,0.31416,"WMa,TruStrain™",12.8,0.1
,22,4.567,514.1,22.95,12964,1742.5,0.134,2.0818E+06,0.8,0,0.32259,"WMa,TruStrain™",13.143,0.1
,23,4.96,514.4,22.95,13237,1403.3,0.106,2.1186E+06,0.8,0,0.32821,"WMa,TruStrain™",13.372,0.1
,24,5.378,514.9,22.95,13329,1053.3,0.079,2.1279E+06,0.8,0,0.32965,"WMa,TruStrain™",13.431,0.1
,25,5.823,515.3,22.95,13407,1118.4,0.0834,2.1412E+06,0.8,0,0.3317,"WMa,TruStrain™",13.515,0.1
,26,6.297,515.8,22.95,13599,555.83,0.0409,2.1662E+06,0.8,0,0.3356,"WMa,TruStrain™",13.674,0.1
,27,6.802,516.3,22.95,12844,924.21,0.072,2.0495E+06,0.8,0,0.31755,"WMa,TruStrain™",12.938,0.1
,28,7.338,516.8,22.95,13070,1530.2,0.117,2.0944E+06,0.8,0,0.32455,"WMa,TruStrain™",13.223,0.1
,29,7.91,517.4,22.95,13290,1361.1,0.102,2.1262E+06,0.8,0,0.3295,"WMa,TruStrain™",13.425,0.1
,30,8.517,518,22.95,13023,1069.1,0.0821,2.0797E+06,0.8,0,0.3223,"WMa,TruStrain™",13.132,0.1
,31,9.164,518.6,22.95,13800,871.22,0.0631,2.2008E+06,0.8,0,0.34107,"WMa,TruStrain™",13.896,0.1
,32,9.853,519.3,22.95,13514,440.16,0.0326,2.1519E+06,0.8,0,0.33352,"WMa,TruStrain™",13.589,0.101
,33,10.585,520.1,22.95,12991,814.55,0.0627,2.0716E+06,0.8,0,0.32109,"WMa,TruStrain™",13.082,0.101
,34,11.365,520.9,22.95,13137,998.22,0.076,2.0969E+06,0.8,0,0.32501,"WMa,TruStrain™",13.242,0.101
,35,12.195,521.7,22.95,13051,878.49,0.0673,2.0818E+06,0.8,0,0.32266,"WMa,TruStrain™",13.146,0.101
,36,13.078,522.6,22.95,13013,1249.1,0.096,2.0806E+06,0.8,0,0.32246,"WMa,TruStrain™",13.138,0.101
,37,14.017,523.5,22.95,12850,1194.3,0.0929,2.0539E+06,0.8,0,0.31834,"WMa,TruStrain™",12.97,0.101
,38,15.017,524.5,22.95,12822,1425.4,0.111,2.0533E+06,0.8,0,0.31822,"WMa,TruStrain™",12.966,0.101
,,,,,,,,,,,,,,
Interval and data points:,2,38,,,,,,,,,,,,
Interval data:,Point No.,Time,Test Time,Temperature,Storage Modulus,Loss Modulus,Loss Factor,Complex Viscosity,Gap,Normal Force,Torque,Status,Shear Stress,Shear Strain
,,,,,,,,,,,,,,
,,[s],[s],[°C],[Pa],[Pa],[1],[mPa·s],[mm],[N],[µN·m],,[Pa],[%]
,1,15.119,524.6,22.95,1.1277E+07,1.6838E+06,0.149,1.8146E+09,0.8,-0.14,1746,"WMa,TruStrain™",71137,0.624
,2,15.226,524.7,22.95,3.135E+05,15.675,5E-05,4.9895E+07,0.8,-0.09,3098.6,"ME-,WMa,taD,TruStrain™",1.2625E+05,40.3
,3,15.339,524.8,22.95,1.1022E+05,5.5111,5E-05,1.7542E+07,0.8,-0.01,1596.1,"ME-,MV-,WMa,taD,TruStrain™",65032,59
,4,15.46,524.9,22.95,92335,4.6168,5E-05,1.4696E+07,0.8,-0.01,1370.3,"ME-,MV-,WMa,taD,TruStrain™",55830,60.5
,5,15.588,525.1,22.95,67037,3.3519,5E-05,1.0669E+07,0.8,-0.02,1048.2,"ME-,MV-,WMa,taD,TruStrain™",42709,63.7
,6,15.724,525.2,22.95,89323,1.1361E+05,1.27,2.3002E+07,0.8,0.02,3090.7,"ME-,MV-,WMa,TruStrain™",1.2593E+05,87.1
,7,15.87,525.4,22.95,38881,85253,2.19,1.4913E+07,0.8,0.01,4485.1,"WMa,TruStrain™",1.8274E+05,195
,8,16.024,525.5,22.95,1243.9,46051,37,7.332E+06,0.8,0.01,4579.3,"WMa,TruStrain™",1.8658E+05,405
,9,16.189,525.7,22.95,12070,25011,2.07,4.4199E+06,0.8,-0.01,4060.3,"ME-,WMa,TruStrain™",1.6543E+05,596
,10,16.364,525.8,22.95,1.636,32720,2E+04,5.2075E+06,0.8,-0.03,7646.5,"ME-,WMa,taD,TruStrain™",3.1155E+05,952
,11,16.55,526,22.95,1.1313,22625,2E+04,3.6009E+06,0.8,0.01,7333.2,"ME-,WMa,taD,TruStrain™",2.9878E+05,1.32E+03
,12,16.749,526.2,22.95,0.87213,17443,2E+04,2.7761E+06,0.8,0.03,7007.8,"ME-,WMa,taD,TruStrain™",2.8552E+05,1.64E+03
,13,16.96,526.4,22.95,0.19196,3839.1,2E+04,6.1101E+05,0.8,0.01,1704.8,"ME-,WMa,taD,TruStrain™",69461,1.81E+03
,14,17.184,526.7,22.95,62.398,226.66,3.63,37417,0.8,-0.01,109.14,"ME-,WMa,TruStrain™",4446.8,1.89E+03
,15,17.423,526.9,22.95,347.66,2269.8,6.53,3.6547E+05,0.8,-0.02,1033.2,"MV-,WMa,TruStrain™",42096,1.83E+03
,16,17.677,527.2,22.95,67.889,2590.6,38.2,4.1246E+05,0.8,0.02,1115.9,"MV-,WMa,TruStrain™",45466,1.75E+03
,17,17.948,527.4,22.95,222.47,2435.4,10.9,3.8921E+05,0.8,0.01,996.2,"MV-,WMa,TruStrain™",40589,1.66E+03
,18,18.236,527.7,22.95,162.94,2012.1,12.3,3.2128E+05,0.8,-0.01,780.96,"MV-,WMa,TruStrain™",31819,1.58E+03
,19,18.543,528,22.95,102.28,1546.6,15.1,2.4669E+05,0.8,0,578.52,"MV-,WMa,TruStrain™",23571,1.52E+03
,20,18.869,528.4,22.95,42.075,1377.2,32.7,2.1929E+05,0.8,0.01,495.91,"MV-,WMa,TruStrain™",20205,1.47E+03
,21,19.216,528.7,22.95,48.814,1280.8,26.2,2.0399E+05,0.8,-0.01,445.83,"MV-,WMa,TruStrain™",18165,1.42E+03
,22,19.586,529.1,22.95,57.996,1212.1,20.9,1.9313E+05,0.8,0.01,408.09,"MV-,WMa,TruStrain™",16627,1.37E+03
,23,19.979,529.5,22.95,51.975,1149.8,22.1,1.8318E+05,0.8,0.01,374.16,"MV-,WMa,TruStrain™",15245,1.32E+03
,24,20.397,529.9,22.95,41.853,1095.9,26.2,1.7455E+05,0.8,-0.02,342.49,"MV-,WMa,TruStrain™",13954,1.27E+03
,25,20.842,530.3,22.95,67.669,1011.9,15,1.6141E+05,0.8,0.01,304.65,"MV-,WMa,TruStrain™",12413,1.22E+03
,26,21.316,530.8,22.95,100.96,859.88,8.52,1.3779E+05,0.8,-0.01,252.14,"MV-,WMa,TruStrain™",10273,1.19E+03
,27,21.821,531.3,22.95,107.47,699.44,6.51,1.1263E+05,0.8,0.01,200.07,"MV-,WMa,TruStrain™",8151.5,1.15E+03
